arm,learning_rate,tuning_final_mean,tuning_final_sd,tuning_auc_mean,tuning_auc_sd,selected
direct,0.015625,-695.0430184927709,16.39252149556091,-69363.0332461768,692.5802523542566,True
direct,0.03125,-697.3460413203429,16.923644274499114,-69515.93897787093,691.1204163494284,False
direct,0.0625,-705.6070507523442,17.93177253217136,-70088.27698054792,677.5003833758833,False
direct,0.125,-734.1035347431598,20.856422599391802,-72161.11025588337,711.7095771408638,False
direct,0.25,-832.767208207642,43.37536487442027,-79457.75932114567,1925.7124940931542,False
direct,0.5,-1085.0605809028307,105.7504584583621,-99462.30091449777,5698.912900543787,False
redundant,0.015625,-1283.548995348273,26.632180357720436,-125388.11696224073,2346.533288326777,True
redundant,0.03125,-1295.4901386750603,13.366780268207705,-128435.19409313933,629.9394346201542,False
redundant,0.0625,-1305.7928658738974,8.94887457233354,-129641.89068750532,388.4593939941846,False
redundant,0.125,-1317.7937961742468,3.9280079830019723,-130772.98352199356,251.55847272130222,False
redundant,0.25,-1325.7107117511403,6.603752717375865,-131634.2088718768,312.23048506859334,False
redundant,0.5,-1329.806694155039,5.51700108684827,-132180.83040532444,431.4201155133546,False
redundant_ng,0.015625,-695.0429669364354,16.392503379776308,-69363.0303361877,692.579313047633,True
redundant_ng,0.03125,-697.3458683329886,16.92361601684394,-69515.92801340939,691.1181726397394,False
redundant_ng,0.0625,-705.6064707606139,17.931705626773997,-70088.23690906959,677.492321070573,False
redundant_ng,0.125,-734.1015198905588,20.85615668890264,-72160.96480886285,711.6663463454274,False
redundant_ng,0.25,-832.7585967630747,43.370383656248805,-79457.17805488121,1925.3445793816381,False
redundant_ng,0.5,-1085.0509698520066,105.75181931673728,-99461.44657189246,5699.001116649551,False
